emDash	enDash	aihits	lines	words	emPer1000	file
31	0	0	78	1189	26.07	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\api-requests-from-playwright\avoid-mistakes.mdx
15	0	0	39	577	26.00	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\parallelism-sharding-and-test-isolation\review.mdx
13	0	0	40	505	25.74	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\authentication-and-session-state\review.mdx
15	0	0	40	585	25.64	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\api-requests-from-playwright\review.mdx
14	0	0	39	551	25.41	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\network-interception-and-mocking\review.mdx
16	0	0	56	631	25.36	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\project-structure-and-config\review.mdx
23	0	0	52	912	25.22	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\when-to-use-agents-vs-manual\review.mdx
15	0	0	39	622	24.12	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\reporting\review.mdx
27	0	1	141	1180	22.88	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\actions-and-web-first-assertions\build-it.mdx
12	1	1	63	528	22.73	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\index.md
35	0	0	176	1602	21.85	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\ui-vs-api-level-testing\build-it.mdx
8	0	0	35	369	21.68	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\setup\review.mdx
24	0	0	91	1123	21.37	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\locators\overview.mdx
25	0	1	82	1178	21.22	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\reporting\avoid-mistakes.mdx
23	0	0	109	1132	20.32	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\actions-and-web-first-assertions\avoid-mistakes.mdx
22	0	0	76	1086	20.26	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\locators\avoid-mistakes.mdx
24	0	0	78	1211	19.82	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\page-object-model\avoid-mistakes.mdx
37	0	0	180	1872	19.76	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\playwright-test-agents\build-it.mdx
21	0	0	184	1070	19.63	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\setup\build-it.mdx
26	0	0	76	1336	19.46	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\playwright-test-agents\avoid-mistakes.mdx
23	0	0	89	1193	19.28	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\handling-dynamic-and-async-ui\avoid-mistakes.mdx
21	0	1	76	1109	18.94	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\cross-browser-and-responsive-testing\avoid-mistakes.mdx
22	0	1	76	1191	18.47	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\ui-vs-api-level-testing\avoid-mistakes.mdx
31	0	1	231	1688	18.36	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\continuous-integration\build-it.mdx
26	0	1	80	1443	18.02	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\debugging-and-troubleshooting\avoid-mistakes.mdx
26	0	0	114	1446	17.98	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\self-healing-tests\build-it.mdx
23	0	2	101	1290	17.83	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\cross-browser-and-responsive-testing\overview.mdx
23	0	1	80	1308	17.58	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\when-to-use-agents-vs-manual\avoid-mistakes.mdx
19	0	0	152	1081	17.58	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\cross-browser-and-responsive-testing\build-it.mdx
12	0	1	86	685	17.52	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\setup\overview.mdx
23	0	0	181	1333	17.25	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\why-playwright\build-it.mdx
17	0	0	76	995	17.09	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\network-interception-and-mocking\avoid-mistakes.mdx
25	0	1	209	1483	16.86	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\accessibility-testing\build-it.mdx
19	0	0	114	1143	16.62	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\fixtures\overview.mdx
23	0	1	160	1387	16.58	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\playwright-mcp\build-it.mdx
21	0	2	130	1289	16.29	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\when-to-use-agents-vs-manual\build-it.mdx
19	0	0	76	1168	16.27	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\parallelism-sharding-and-test-isolation\avoid-mistakes.mdx
14	0	0	76	866	16.17	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\setup\avoid-mistakes.mdx
19	0	0	147	1181	16.09	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\project-structure-and-config\build-it.mdx
19	0	1	76	1182	16.07	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\test-organization-and-tagging\avoid-mistakes.mdx
25	0	0	152	1583	15.79	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\handling-dynamic-and-async-ui\build-it.mdx
17	0	2	76	1077	15.78	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\authentication-and-session-state\avoid-mistakes.mdx
20	0	0	78	1271	15.74	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\fixtures\avoid-mistakes.mdx
31	0	1	283	1975	15.70	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\test-organization-and-tagging\build-it.mdx
18	0	1	78	1147	15.69	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\project-structure-and-config\avoid-mistakes.mdx
25	0	0	253	1607	15.56	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\reporting\build-it.mdx
16	0	0	85	1033	15.49	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\accessibility-testing\overview.mdx
19	0	2	78	1230	15.45	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\accessibility-testing\avoid-mistakes.mdx
15	0	1	87	974	15.40	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\authentication-and-session-state\overview.mdx
20	0	1	213	1305	15.33	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\api-requests-from-playwright\build-it.mdx
18	0	0	94	1189	15.14	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\self-healing-tests\overview.mdx
15	0	0	88	1019	14.72	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\actions-and-web-first-assertions\overview.mdx
18	0	0	81	1241	14.50	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\self-healing-tests\avoid-mistakes.mdx
24	0	2	137	1678	14.30	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\why-playwright\overview.mdx
18	0	1	76	1263	14.25	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\testing-the-rbac-permission-matrix\avoid-mistakes.mdx
18	0	0	179	1264	14.24	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\network-interception-and-mocking\build-it.mdx
20	0	1	156	1406	14.22	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\ui-vs-api-level-testing\overview.mdx
14	0	0	88	1000	14.00	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\reporting\overview.mdx
16	0	1	88	1145	13.97	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\playwright-mcp\overview.mdx
17	0	1	78	1217	13.97	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\playwright-mcp\avoid-mistakes.mdx
22	0	0	186	1576	13.96	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\locators\build-it.mdx
13	0	0	94	934	13.92	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\page-object-model\overview.mdx
25	0	0	277	1803	13.87	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\testing-the-rbac-permission-matrix\build-it.mdx
22	0	0	198	1591	13.83	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\parallelism-sharding-and-test-isolation\build-it.mdx
17	0	1	95	1242	13.69	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\playwright-test-agents\overview.mdx
17	0	2	78	1251	13.59	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\why-playwright\avoid-mistakes.mdx
13	0	0	85	958	13.57	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\project-structure-and-config\overview.mdx
19	1	1	201	1406	13.51	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\fixtures\build-it.mdx
14	0	0	94	1057	13.25	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\handling-dynamic-and-async-ui\overview.mdx
14	0	0	108	1096	12.77	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\api-requests-from-playwright\overview.mdx
24	0	3	178	1881	12.76	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\debugging-and-troubleshooting\build-it.mdx
19	0	0	154	1544	12.31	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\visual-and-snapshot-testing\build-it.mdx
18	0	1	96	1520	11.84	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\when-to-use-agents-vs-manual\overview.mdx
12	0	0	97	1056	11.36	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\visual-and-snapshot-testing\overview.mdx
14	0	0	76	1237	11.32	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\continuous-integration\avoid-mistakes.mdx
14	0	0	233	1280	10.94	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\authentication-and-session-state\build-it.mdx
12	0	1	115	1139	10.54	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\network-interception-and-mocking\overview.mdx
13	0	1	78	1234	10.53	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\visual-and-snapshot-testing\avoid-mistakes.mdx
10	0	0	83	969	10.32	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\continuous-integration\overview.mdx
11	0	1	83	1072	10.26	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\debugging-and-troubleshooting\overview.mdx
11	0	1	90	1081	10.18	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\test-organization-and-tagging\overview.mdx
12	0	0	268	1287	9.32	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\page-object-model\build-it.mdx
10	0	0	89	1141	8.76	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\parallelism-sharding-and-test-isolation\overview.mdx
8	0	1	93	1094	7.31	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\testing-the-rbac-permission-matrix\overview.mdx
